denominazione_provincia,data,denominazione_regione,totale_casi
Pordenone,2020-04-04,Friuli Venezia Giulia,461
Sondrio,2020-04-04,Lombardia,563
Ragusa,2020-04-04,Sicilia,47
Rovigo,2020-04-04,Veneto,184
Piacenza,2020-04-05,Emilia-Romagna,2892
Ravenna,2020-04-05,Emilia-Romagna,708
Gorizia,2020-04-05,Friuli Venezia Giulia,116
Trieste,2020-04-05,Friuli Venezia Giulia,670
Pordenone,2020-04-05,Friuli Venezia Giulia,470
Sondrio,2020-04-05,Lombardia,591
Ragusa,2020-04-05,Sicilia,48
Rovigo,2020-04-05,Veneto,186
Piacenza,2020-04-06,Emilia-Romagna,2936
Ravenna,2020-04-06,Emilia-Romagna,728
Gorizia,2020-04-06,Friuli Venezia Giulia,119
Trieste,2020-04-06,Friuli Venezia Giulia,708
Pordenone,2020-04-06,Friuli Venezia Giulia,477
Sondrio,2020-04-06,Lombardia,614
Ragusa,2020-04-06,Sicilia,54
Rovigo,2020-04-06,Veneto,203
Piacenza,2020-04-07,Emilia-Romagna,2953
Ravenna,2020-04-07,Emilia-Romagna,738
Gorizia,2020-04-07,Friuli Venezia Giulia,119
Trieste,2020-04-07,Friuli Venezia Giulia,733
Pordenone,2020-04-07,Friuli Venezia Giulia,480
Sondrio,2020-04-07,Lombardia,620
Ragusa,2020-04-07,Sicilia,54
Rovigo,2020-04-07,Veneto,218
Piacenza,2020-04-08,Emilia-Romagna,2980
Ravenna,2020-04-08,Emilia-Romagna,746
Gorizia,2020-04-08,Friuli Venezia Giulia,121
Trieste,2020-04-08,Friuli Venezia Giulia,763
Pordenone,2020-04-08,Friuli Venezia Giulia,497
Sondrio,2020-04-08,Lombardia,636
Ragusa,2020-04-08,Sicilia,56
Rovigo,2020-04-08,Veneto,232
Piacenza,2020-04-09,Emilia-Romagna,3020
Ravenna,2020-04-09,Emilia-Romagna,751
Gorizia,2020-04-09,Friuli Venezia Giulia,120
Trieste,2020-04-09,Friuli Venezia Giulia,821
Pordenone,2020-04-09,Friuli Venezia Giulia,513
Sondrio,2020-04-09,Lombardia,654
Ragusa,2020-04-09,Sicilia,58
Rovigo,2020-04-09,Veneto,249
Piacenza,2020-04-10,Emilia-Romagna,3049
Ravenna,2020-04-10,Emilia-Romagna,776
Gorizia,2020-04-10,Friuli Venezia Giulia,121
Trieste,2020-04-10,Friuli Venezia Giulia,857
Pordenone,2020-04-10,Friuli Venezia Giulia,520
Sondrio,2020-04-10,Lombardia,661
Ragusa,2020-04-10,Sicilia,61
Rovigo,2020-04-10,Veneto,271
Piacenza,2020-04-11,Emilia-Romagna,3063
Ravenna,2020-04-11,Emilia-Romagna,789
Gorizia,2020-04-11,Friuli Venezia Giulia,121
Trieste,2020-04-11,Friuli Venezia Giulia,872
Pordenone,2020-04-11,Friuli Venezia Giulia,529
Sondrio,2020-04-11,Lombardia,684
Ragusa,2020-04-11,Sicilia,64
Rovigo,2020-04-11,Veneto,274
Piacenza,2020-04-12,Emilia-Romagna,3100
Ravenna,2020-04-12,Emilia-Romagna,801
Gorizia,2020-04-12,Friuli Venezia Giulia,123
Trieste,2020-04-12,Friuli Venezia Giulia,890
Pordenone,2020-04-12,Friuli Venezia Giulia,539
Sondrio,2020-04-12,Lombardia,720
Ragusa,2020-04-12,Sicilia,66
Rovigo,2020-04-12,Veneto,280
Piacenza,2020-04-13,Emilia-Romagna,3138
Ravenna,2020-04-13,Emilia-Romagna,827
Gorizia,2020-04-13,Friuli Venezia Giulia,127
Trieste,2020-04-13,Friuli Venezia Giulia,916
Pordenone,2020-04-13,Friuli Venezia Giulia,547
Sondrio,2020-04-13,Lombardia,796
Ragusa,2020-04-13,Sicilia,67
Rovigo,2020-04-13,Veneto,280
Piacenza,2020-04-14,Emilia-Romagna,3167
Ravenna,2020-04-14,Emilia-Romagna,880
Gorizia,2020-04-14,Friuli Venezia Giulia,129
Trieste,2020-04-14,Friuli Venezia Giulia,945
Pordenone,2020-04-14,Friuli Venezia Giulia,551
Sondrio,2020-04-14,Lombardia,849
Ragusa,2020-04-14,Sicilia,67
Rovigo,2020-04-14,Veneto,287
Piacenza,2020-04-15,Emilia-Romagna,3223
Ravenna,2020-04-15,Emilia-Romagna,889
Gorizia,2020-04-15,Friuli Venezia Giulia,130
Trieste,2020-04-15,Friuli Venezia Giulia,961
Pordenone,2020-04-15,Friuli Venezia Giulia,557
Sondrio,2020-04-15,Lombardia,859
Ragusa,2020-04-15,Sicilia,68
Rovigo,2020-04-15,Veneto,291
Piacenza,2020-04-16,Emilia-Romagna,3249
Ravenna,2020-04-16,Emilia-Romagna,904
Gorizia,2020-04-16,Friuli Venezia Giulia,132
Trieste,2020-04-16,Friuli Venezia Giulia,1011
Pordenone,2020-04-16,Friuli Venezia Giulia,573
Sondrio,2020-04-16,Lombardia,864
Ragusa,2020-04-16,Sicilia,69
Rovigo,2020-04-16,Veneto,297
Piacenza,2020-04-17,Emilia-Romagna,3274
Ravenna,2020-04-17,Emilia-Romagna,910
Gorizia,2020-04-17,Friuli Venezia Giulia,132
Trieste,2020-04-17,Friuli Venezia Giulia,1067
Pordenone,2020-04-17,Friuli Venezia Giulia,574
Sondrio,2020-04-17,Lombardia,866
Ragusa,2020-04-17,Sicilia,69
Rovigo,2020-04-17,Veneto,301
Piacenza,2020-04-18,Emilia-Romagna,3299
Ravenna,2020-04-18,Emilia-Romagna,921
Gorizia,2020-04-18,Friuli Venezia Giulia,131
Trieste,2020-04-18,Friuli Venezia Giulia,1102
Pordenone,2020-04-18,Friuli Venezia Giulia,587
Sondrio,2020-04-18,Lombardia,937
Ragusa,2020-04-18,Sicilia,69
Rovigo,2020-04-18,Veneto,306
Piacenza,2020-04-19,Emilia-Romagna,3369
Ravenna,2020-04-19,Emilia-Romagna,926
Gorizia,2020-04-19,Friuli Venezia Giulia,132
Trieste,2020-04-19,Friuli Venezia Giulia,1108
Pordenone,2020-04-19,Friuli Venezia Giulia,591
Sondrio,2020-04-19,Lombardia,956
Ragusa,2020-04-19,Sicilia,69
Rovigo,2020-04-19,Veneto,306
Piacenza,2020-04-20,Emilia-Romagna,3393
Ravenna,2020-04-20,Emilia-Romagna,934
Gorizia,2020-04-20,Friuli Venezia Giulia,138
Trieste,2020-04-20,Friuli Venezia Giulia,1122
Pordenone,2020-04-20,Friuli Venezia Giulia,596
Sondrio,2020-04-20,Lombardia,960
Ragusa,2020-04-20,Sicilia,69
Rovigo,2020-04-20,Veneto,307
Piacenza,2020-04-21,Emilia-Romagna,3460
Ravenna,2020-04-21,Emilia-Romagna,937
Gorizia,2020-04-21,Friuli Venezia Giulia,143
Trieste,2020-04-21,Friuli Venezia Giulia,1125
Pordenone,2020-04-21,Friuli Venezia Giulia,599
Sondrio,2020-04-21,Lombardia,966
Ragusa,2020-04-21,Sicilia,70
Rovigo,2020-04-21,Veneto,369
Piacenza,2020-04-22,Emilia-Romagna,3533
Ravenna,2020-04-22,Emilia-Romagna,941
Gorizia,2020-04-22,Friuli Venezia Giulia,149
Trieste,2020-04-22,Friuli Venezia Giulia,1136
Pordenone,2020-04-22,Friuli Venezia Giulia,599
Sondrio,2020-04-22,Lombardia,1012
Ragusa,2020-04-22,Sicilia,72
Rovigo,2020-04-22,Veneto,400
Piacenza,2020-04-23,Emilia-Romagna,3586
Ravenna,2020-04-23,Emilia-Romagna,956
Gorizia,2020-04-23,Friuli Venezia Giulia,164
Trieste,2020-04-23,Friuli Venezia Giulia,1152
Pordenone,2020-04-23,Friuli Venezia Giulia,607
Sondrio,2020-04-23,Lombardia,1056
Ragusa,2020-04-23,Sicilia,74
Rovigo,2020-04-23,Veneto,403
Piacenza,2020-04-24,Emilia-Romagna,3635
Ravenna,2020-04-24,Emilia-Romagna,963
Gorizia,2020-04-24,Friuli Venezia Giulia,168
Trieste,2020-04-24,Friuli Venezia Giulia,1164
Pordenone,2020-04-24,Friuli Venezia Giulia,612
Sondrio,2020-04-24,Lombardia,1088
Ragusa,2020-04-24,Sicilia,83
Rovigo,2020-04-24,Veneto,413
Piacenza,2020-04-25,Emilia-Romagna,3695
Ravenna,2020-04-25,Emilia-Romagna,969
Gorizia,2020-04-25,Friuli Venezia Giulia,174
Trieste,2020-04-25,Friuli Venezia Giulia,1177
Pordenone,2020-04-25,Friuli Venezia Giulia,613
Sondrio,2020-04-25,Lombardia,1130
Ragusa,2020-04-25,Sicilia,87
Rovigo,2020-04-25,Veneto,416
Piacenza,2020-04-26,Emilia-Romagna,3751
Ravenna,2020-04-26,Emilia-Romagna,969
Gorizia,2020-04-26,Friuli Venezia Giulia,175
Trieste,2020-04-26,Friuli Venezia Giulia,1181
Pordenone,2020-04-26,Friuli Venezia Giulia,621
Sondrio,2020-04-26,Lombardia,1132
Ragusa,2020-04-26,Sicilia,89
Rovigo,2020-04-26,Veneto,417
Piacenza,2020-04-27,Emilia-Romagna,3826
Ravenna,2020-04-27,Emilia-Romagna,970
Gorizia,2020-04-27,Friuli Venezia Giulia,179
Trieste,2020-04-27,Friuli Venezia Giulia,1227
Pordenone,2020-04-27,Friuli Venezia Giulia,625
Sondrio,2020-04-27,Lombardia,1132
Ragusa,2020-04-27,Sicilia,89
Rovigo,2020-04-27,Veneto,422
Piacenza,2020-04-28,Emilia-Romagna,3918
Ravenna,2020-04-28,Emilia-Romagna,978
Gorizia,2020-04-28,Friuli Venezia Giulia,181
Trieste,2020-04-28,Friuli Venezia Giulia,1237
Pordenone,2020-04-28,Friuli Venezia Giulia,627
Sondrio,2020-04-28,Lombardia,1141
Ragusa,2020-04-28,Sicilia,89
Rovigo,2020-04-28,Veneto,424
Piacenza,2020-04-29,Emilia-Romagna,3993
Ravenna,2020-04-29,Emilia-Romagna,981
Gorizia,2020-04-29,Friuli Venezia Giulia,182
Trieste,2020-04-29,Friuli Venezia Giulia,1245
Pordenone,2020-04-29,Friuli Venezia Giulia,630
Sondrio,2020-04-29,Lombardia,1143
Ragusa,2020-04-29,Sicilia,89
Rovigo,2020-04-29,Veneto,426
Piacenza,2020-04-30,Emilia-Romagna,4062
Ravenna,2020-04-30,Emilia-Romagna,982
Gorizia,2020-04-30,Friuli Venezia Giulia,186
Trieste,2020-04-30,Friuli Venezia Giulia,1252
Pordenone,2020-04-30,Friuli Venezia Giulia,634
Sondrio,2020-04-30,Lombardia,1180
Ragusa,2020-04-30,Sicilia,91
Rovigo,2020-04-30,Veneto,427
Piacenza,2020-05-01,Emilia-Romagna,4115
Ravenna,2020-05-01,Emilia-Romagna,982
Gorizia,2020-05-01,Friuli Venezia Giulia,187
Trieste,2020-05-01,Friuli Venezia Giulia,1256
Pordenone,2020-05-01,Friuli Venezia Giulia,644
Sondrio,2020-05-01,Lombardia,1181
Ragusa,2020-05-01,Sicilia,92
Rovigo,2020-05-01,Veneto,430
Piacenza,2020-05-02,Emilia-Romagna,4175
Ravenna,2020-05-02,Emilia-Romagna,983
Gorizia,2020-05-02,Friuli Venezia Giulia,189
Trieste,2020-05-02,Friuli Venezia Giulia,1271
Pordenone,2020-05-02,Friuli Venezia Giulia,644
Sondrio,2020-05-02,Lombardia,1181
Ragusa,2020-05-02,Sicilia,92
Rovigo,2020-05-02,Veneto,430
Piacenza,2020-05-03,Emilia-Romagna,4214
Ravenna,2020-05-03,Emilia-Romagna,986
Gorizia,2020-05-03,Friuli Venezia Giulia,189
Trieste,2020-05-03,Friuli Venezia Giulia,1281
Pordenone,2020-05-03,Friuli Venezia Giulia,645
Sondrio,2020-05-03,Lombardia,1181
Ragusa,2020-05-03,Sicilia,92
Rovigo,2020-05-03,Veneto,431
Piacenza,2020-05-04,Emilia-Romagna,4251
Ravenna,2020-05-04,Emilia-Romagna,986
